date,open,low,high,close,volume,change
15/11/2021,1476.57,1481.75,1481.96,1466.01,1146225600,+3.20 (+0.22%)
12/11/2021,1473.37,1464.2,1474.98,1453.22,909366000,+11.02 (+0.75%)
11/11/2021,1462.35,1469.22,1472.89,1449.18,1206887000,-2.67 (-0.18%)
10/11/2021,1465.02,1465.1,1470.19,1457.98,955160600,+3.52 (+0.24%)
09/11/2021,1461.5,1469.94,1474.2,1457.57,1003649300,-6.07 (-0.41%)
08/11/2021,1467.57,1461.61,1470.49,1456.9,1006323900,+11.06 (+0.76%)
05/11/2021,1456.51,1450.71,1459.93,1444.51,844497200,+8.17 (+0.56%)
04/11/2021,1448.34,1442.89,1451.98,1435.84,890357900,+4.04 (+0.28%)
03/11/2021,1444.3,1459.05,1463.63,1440.67,1455441700,-8.16 (-0.56%)
02/11/2021,1452.46,1439.61,1452.46,1438.83,972155400,+13.49 (+0.94%)
01/11/2021,1438.97,1449.32,1451.81,1435.57,1092936400,-5.30 (-0.37%)
29/10/2021,1444.27,1439.27,1447.62,1432.19,946189100,+6.26 (+0.44%)
28/10/2021,1438.01,1427.89,1440.64,1420.42,826726500,+14.99 (+1.05%)
27/10/2021,1423.02,1397.51,1423.02,1395.83,861686700,+31.39 (+2.26%)
26/10/2021,1391.63,1384.12,1393.03,1377.56,703571700,+6.23 (+0.45%)
25/10/2021,1385.4,1395.45,1395.72,1385.4,868073700,-3.84 (-0.28%)
22/10/2021,1389.24,1388.66,1393.7,1385.53,746799700,+4.47 (+0.32%)
21/10/2021,1384.77,1397.59,1398.45,1384.77,681412600,-9.03 (-0.65%)
20/10/2021,1393.8,1398.45,1401.76,1376.15,804215000,-1.53 (-0.11%)
19/10/2021,1395.33,1396.07,1399.66,1388.95,605953600,-0.20 (-0.01%)
18/10/2021,1395.53,1395.57,1402.63,1390.88,764032400,+2.83 (+0.20%)
15/10/2021,1392.7,1395.81,1399.03,1388,743666800,+0.85 (+0.06%)
14/10/2021,1391.85,1392.88,1398.67,1388.89,690243000,-0.06 (-0.00%)
13/10/2021,1391.91,1398.21,1400.67,1389.61,608348500,-2.89 (-0.21%)
12/10/2021,1394.8,1398.03,1400.78,1389.43,707870000,+0.71 (+0.05%)
11/10/2021,1394.09,1377.53,1394.64,1377.3,721458300,+21.36 (+1.56%)
08/10/2021,1372.73,1369.14,1373.18,1365.93,603842600,+6.74 (+0.49%)
07/10/2021,1365.99,1365.54,1367.64,1360.57,658670400,+3.17 (+0.23%)
06/10/2021,1362.82,1359.63,1362.82,1355,594012900,+8.19 (+0.60%)
05/10/2021,1354.63,1345.43,1354.63,1343.48,576701100,+15.09 (+1.13%)
04/10/2021,1339.54,1337.74,1347.49,1333.53,700605800,+4.65 (+0.35%)
01/10/2021,1334.89,1339.68,1344.06,1332.97,601963900,-7.17 (-0.53%)
30/09/2021,1342.06,1341.83,1348.89,1341.15,438294600,+2.85 (+0.21%)
29/09/2021,1339.21,1338.8,1340.9,1328.17,559164300,-0.10 (-0.01%)
28/09/2021,1339.31,1319.53,1341.81,1316.41,584057900,+14.32 (+1.08%)
27/09/2021,1324.99,1353.39,1354.38,1324.99,720860100,-26.18 (-1.94%)
24/09/2021,1351.17,1354.84,1356.97,1348.07,627564000,-1.59 (-0.12%)
23/09/2021,1352.76,1357.65,1361.09,1350.43,961252500,+2.08 (+0.15%)
22/09/2021,1350.68,1343.89,1350.71,1336.63,727734800,+10.84 (+0.81%)
21/09/2021,1339.84,1335.96,1346.32,1324.82,816979400,-10.64 (-0.79%)
20/09/2021,1350.48,1361.12,1365.92,1349.18,852479800,-2.16 (-0.16%)
17/09/2021,1352.64,1347.66,1356.45,1347.13,813151300,+6.77 (+0.50%)
16/09/2021,1345.87,1351.85,1353.12,1341.23,570520600,+0.04 (+0.00%)
15/09/2021,1345.83,1338.11,1347.7,1334.97,645625800,+6.13 (+0.46%)
14/09/2021,1339.7,1343.38,1349.13,1336.84,692214900,-1.73 (-0.13%)
13/09/2021,1341.43,1348.07,1350.69,1340.5,744228400,-3.88 (-0.29%)
10/09/2021,1345.31,1348.74,1350.43,1345.07,559050700,+1.33 (+0.10%)
09/09/2021,1343.98,1333.62,1345.59,1332.67,593520900,+10.37 (+0.78%)
08/09/2021,1333.61,1343.92,1344.49,1328.35,596039700,-8.29 (-0.62%)
07/09/2021,1341.9,1349.13,1353.66,1340.32,849578800,-4.49 (-0.33%)
06/09/2021,1346.39,1340.71,1348.36,1339.8,889375400,+11.74 (+0.88%)
01/09/2021,1334.65,1328.78,1338.02,1328.13,679730000,+3.18 (+0.24%)
31/08/2021,1331.47,1332.61,1336.14,1325.69,712344100,+3.33 (+0.25%)
30/08/2021,1328.14,1323.39,1329.62,1318.76,641161300,+14.94 (+1.14%)
27/08/2021,1313.2,1293.98,1313.2,1285.16,658578200,+12.08 (+0.93%)
26/08/2021,1301.12,1313.36,1316.26,1295.77,497853400,-8.43 (-0.64%)
25/08/2021,1309.55,1300.74,1310.16,1291.7,481772400,+10.81 (+0.83%)
24/08/2021,1298.74,1302.9,1307.56,1289.16,648543100,-0.12 (-0.01%)
23/08/2021,1298.86,1322.71,1327.04,1298.86,768105500,-30.57 (-2.30%)
20/08/2021,1329.43,1367.86,1369.39,1317.52,1171621900,-45.42 (-3.30%)
19/08/2021,1374.85,1360.61,1374.85,1352.94,653254900,+13.91 (+1.02%)
18/08/2021,1360.94,1361.24,1370.5,1355.83,641678400,-2.15 (-0.16%)
17/08/2021,1363.09,1377.7,1379.7,1359.11,732378200,-7.87 (-0.57%)
16/08/2021,1370.96,1364.1,1372.33,1361.75,798944800,+13.91 (+1.03%)
13/08/2021,1357.05,1352.56,1357.41,1336.74,718718300,+4.00 (+0.30%)
12/08/2021,1353.05,1356.27,1365.01,1353.05,716513500,-4.74 (-0.35%)
11/08/2021,1357.79,1365.05,1374.03,1357.79,770571200,-4.64 (-0.34%)
10/08/2021,1362.43,1367.99,1370.35,1358.12,677981600,+2.57 (+0.19%)
09/08/2021,1359.86,1337.78,1361.12,1334.69,636278900,+18.41 (+1.37%)
06/08/2021,1341.45,1348.24,1351.85,1341.45,682081800,-4.10 (-0.30%)
05/08/2021,1345.55,1331.14,1346.62,1326.8,590429600,+10.81 (+0.81%)
04/08/2021,1334.74,1337.72,1340.76,1328.4,626287700,+2.30 (+0.17%)
03/08/2021,1332.44,1316.15,1332.44,1315.57,617967000,+18.22 (+1.39%)
02/08/2021,1314.22,1308.69,1322.35,1304.49,586763000,+4.17 (+0.32%)
30/07/2021,1310.05,1298.01,1311.97,1296.95,618748500,+16.45 (+1.27%)
29/07/2021,1293.6,1286.33,1293.6,1282.88,445516100,+16.53 (+1.29%)
28/07/2021,1277.07,1273.48,1281.17,1271.78,361912000,+0.14 (+0.01%)
27/07/2021,1276.93,1283.67,1288.35,1276.53,519931600,+4.22 (+0.33%)
26/07/2021,1272.71,1262.74,1277.33,1254.57,461081000,+3.88 (+0.31%)
23/07/2021,1268.83,1288.83,1295.63,1268.83,550861800,-24.84 (-1.92%)
